Load of resource;Memory;Total proc. power;Tester
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
24,0000;21474836480,0000;0,0001;200,0000
